Club Name,Recordings,Club Identifier,Country,Activity_Score
Irish Soccer Club,103,alton-irish-soccer-club,Ireland,103.0
Ballianagar GAA Ireland,21,ballianagar-gaa-ireland,Ireland,21.0
Ballinteer St Johns GAA Club Dublin,53,ballinteer-st-johns-gaa-club-dublin,Ireland,53.0
Markham Irish Canadian Rugby Club,67,chris-li-cheong-man,Ireland,67.0
Claregalway GAA,134,claregalway-gaa,Ireland,134.0
Galway United Women's,125,jarlaith,Ireland,125.0
Cork Business League,33,cork-business-league,Ireland,33.0
Dubai Irish FC,669,dubai-irish-football-club,Ireland,669.0
Dublin Bus FC,41,dublin-bus-fc-14c08a4e,Ireland,41.0
Dublin Camogie,36,dublin-camogie,Ireland,36.0
Dublin Coffman Shamrocks,102,dublin-coffman-girls-soccer,Ireland,102.0
Dublin GAA,155,dublin-gaa,Ireland,155.0
Dublin Hospitals FC,25,dublin-hospitals-fc,Ireland,25.0
Dublin Raiders Basketball club,31,dublin-raiders-basketball-club,Ireland,31.0
Dublin United Soccer,43,na-d8e08cb5,Ireland,43.0
Dublin United Soccer League,34,dublin-united-soccer-league-9f5b8ac8,Ireland,34.0
Dublin United Soccer League,41,dublin-united-soccer-league-bac4aad7,Ireland,41.0
Irelanders,63,dundalk-young-irelands,Ireland,63.0
East Galway,27,east-galway-united,Ireland,27.0
Firelands High School Soccer,123,firelands-high-school-soccer-department,Ireland,123.0
Full Tide Ireland Limited,14,full-tide-ireland-limited,Ireland,14.0
Galway Bay Rugby Club,74,galway-bay-rugby-club,Ireland,74.0
Galway Bohemians AFC,96,galway-bohemians-afc,Ireland,96.0
Galway Corinthians U16,49,galway-corinthians-u15,Ireland,49.0
Galway FA,17,galway-fa,Ireland,17.0
Galway Football Association,31,galway-fottball-association,Ireland,31.0
Galway GAA,20,galway-gaa-9585a86b,Ireland,20.0
Galway Hurling,70,galway-gaa,Ireland,70.0
Galway Rovers FC,83,galway-rovers-fc,Ireland,83.0
Galway Utd,139,corofin-utd-fc,Ireland,139.0
Garryduff Sports Centre - Cork Church of Ireland,11,garryduff-sports-centre-cork-church-of-ireland,Ireland,11.0
hurling team in cork,11,hurling-team-in-cork,Ireland,11.0
Inspired community football Northern Ireland,30,inspired-community-football-northern-ireland,Ireland,30.0
Irish FA,120,irish-fa,Ireland,120.0
Irish FA,44,irish-football-association,Ireland,44.0
Irish Rovers,164,irish-rovers-fc,Ireland,164.0
Jr. Irish,90,jr-irish-football-club,Ireland,90.0
Jr. Irish,41,junior-irish-34b0f70a,Ireland,41.0
KCHS Lady Irish,26,knoxville-catholic-high-school,Ireland,26.0
Las Vegas Irish Rugby Club,18,las-vegas-rugby-club,Ireland,18.0
Leeds Cork,130,leeds-afc-cork,Ireland,130.0
MK Irish,164,milton-keynes-irish-2,Ireland,164.0
MILTON KEYNES IRISH,54,newport-pagnell-town-youth-football-club,Ireland,54.0
Munich Irish Rovers FC,17,munich-irish-rovers-fc,Ireland,17.0
